,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,total,oudiff,oudiff_abs,spread_dist,dates,dateofgame,dayofweek,total_upper2,total_lower2,ouopp_o2,ouopp_u2,tie_ou,tie_ou2,result_total_plus_minus_two,under,over,over_under_tie_credit,under_result,over_result,to_spread,usd,cred,result,away_dogs_,away_dogs
115,11/7/1999,1999,10,SF,PIT,SF,-2.5,41.5,,62.0,19.0,69.0,6.0,27.0,False,False,33.0,-8.5,8.5,18.5,11/7/1999,11/7/1999,6,43.5,39.5,-150,100,0,0,-50,100,-110,0,100,-110,-23.5,100,0,100,-110,-110
116,11/7/1999,1999,10,SEA,CIN,SEA,-14.0,40.0,DOME,72.0,0.0,,37.0,20.0,False,False,57.0,17.0,17.0,3.0,11/7/1999,11/7/1999,6,42.0,38.0,100,-150,0,0,-50,-110,100,0,-110,100,3.0,-110,0,-110,100,100
117,11/7/1999,1999,10,WAS,BUF,WAS,-4.0,47.0,,55.0,14.0,43.0,17.0,34.0,False,False,51.0,4.0,4.0,13.0,11/7/1999,11/7/1999,6,49.0,45.0,100,-150,0,0,-50,-110,100,0,-110,100,-21.0,100,0,100,-110,-110
118,11/8/1999,1999,10,MIN,DAL,MIN,-6.5,47.5,DOME,72.0,0.0,,27.0,17.0,False,False,44.0,-3.5,3.5,3.5,11/8/1999,11/8/1999,0,49.5,45.5,-150,100,0,0,-50,100,-110,0,100,-110,3.5,-110,0,-110,100,100
120,11/14/1999,1999,11,BUF,MIA,BUF,-3.0,37.0,,50.0,19.0,68.0,23.0,3.0,False,False,26.0,-11.0,11.0,17.0,11/14/1999,11/14/1999,6,39.0,35.0,-150,100,0,0,-50,100,-110,0,100,-110,17.0,-110,0,-110,100,100
124,11/14/1999,1999,11,JAX,BAL,JAX,-13.0,37.0,,64.0,6.0,64.0,6.0,3.0,False,False,9.0,-28.0,28.0,-10.0,11/14/1999,11/14/1999,6,39.0,35.0,-150,100,0,0,-50,100,-110,0,100,-110,-10.0,100,0,100,-110,-110
127,11/14/1999,1999,11,OAK,,OAK,-7.0,36.0,,58.0,6.0,77.0,28.0,9.0,False,False,37.0,1.0,1.0,12.0,11/14/1999,11/14/1999,6,38.0,34.0,100,100,0,0,200,-110,100,0,-110,100,12.0,-110,0,-110,100,100
129,11/14/1999,1999,11,PIT,CLE,PIT,-14.5,34.5,,53.0,15.0,71.0,15.0,16.0,False,False,31.0,-3.5,3.5,-13.5,11/14/1999,11/14/1999,6,36.5,32.5,-150,100,0,0,-50,100,-110,0,100,-110,-15.5,100,0,100,-110,-110
130,11/14/1999,1999,11,SEA,DEN,SEA,-5.5,41.0,DOME,72.0,0.0,,20.0,17.0,False,False,37.0,-4.0,4.0,-2.5,11/14/1999,11/14/1999,6,43.0,39.0,-150,100,0,0,-50,100,-110,0,100,-110,-2.5,100,0,100,-110,-110
131,11/14/1999,1999,11,TB,KC,TB,-3.0,34.5,,69.0,7.0,85.0,17.0,10.0,False,False,27.0,-7.5,7.5,4.0,11/14/1999,11/14/1999,6,36.5,32.5,-150,100,0,0,-50,100,-110,0,100,-110,4.0,-110,0,-110,100,100
132,11/15/1999,1999,11,NE,NYJ,NE,-6.0,37.0,,43.0,19.0,57.0,17.0,24.0,False,False,41.0,4.0,4.0,1.0,11/15/1999,11/15/1999,0,39.0,35.0,100,-150,0,0,-50,-110,100,0,-110,100,-13.0,100,0,100,-110,-110
136,11/21/1999,1999,12,GB,DET,GB,-4.0,39.0,,41.0,11.0,86.0,26.0,17.0,False,False,43.0,4.0,4.0,5.0,11/21/1999,11/21/1999,6,41.0,37.0,100,-150,0,0,-50,-110,100,0,-110,100,5.0,-110,0,-110,100,100
137,11/21/1999,1999,12,JAX,NO,JAX,-12.5,35.0,,62.0,9.0,92.0,41.0,23.0,False,False,64.0,29.0,29.0,5.5,11/21/1999,11/21/1999,6,37.0,33.0,100,-150,0,0,-50,-110,100,0,-110,100,5.5,-110,0,-110,100,100
138,11/21/1999,1999,12,KC,SEA,KC,-3.0,37.5,,50.0,16.0,62.0,19.0,31.0,False,False,50.0,12.5,12.5,9.0,11/21/1999,11/21/1999,6,39.5,35.5,100,-150,0,0,-50,-110,100,0,-110,100,-15.0,100,0,100,-110,-110
139,11/21/1999,1999,12,MIA,NE,MIA,-3.5,37.5,,71.0,7.0,81.0,27.0,17.0,False,False,44.0,6.5,6.5,6.5,11/21/1999,11/21/1999,6,39.5,35.5,100,-150,0,0,-50,-110,100,0,-110,100,6.5,-110,0,-110,100,100
143,11/21/1999,1999,12,TB,ATL,TB,-7.0,34.5,,69.0,8.0,87.0,19.0,10.0,False,False,29.0,-5.5,5.5,2.0,11/21/1999,11/21/1999,6,36.5,32.5,-150,100,0,0,-50,100,-110,0,100,-110,2.0,-110,0,-110,100,100
